Type,YouTube,Student,Date,Title,Keywords,Summary,MainLevel,Level1,Level2,Level3,Lecturer,Affiliation,SummaryWordCount,2-4 highlights: no longer than 3 minutes each with a clear one-line description of WHY it's a highlight,,,,,Time spent on each video,"Possible B-Roll, Background Music",,,,COMMENTS
Distinguished Lecture,http://youtu.be/UN_j04vyvS0,Rong (7),24-09-2009,Learning structures in natural sounds,"evolutionary biology, computer science, technology, programming","Lewicki looks at the processing of sound in two facets: the digital processing and analysis of audio tracks (engineering), and the physical structure of human aural mechanisms, the ear (physiology). Because his work deals with both physics and biology, he must find a way to reconcile both familiar laws of physics as well as logic of evolutionary biology as it applies to humans. Like many others, he uses theoretical models from nature to form efficient coding theory - and eventually uses this to learn about higher-order structure. In other words, computer programming is used to analyze sets of audio data from the biological world, which can then tell us about physical structures of organisms that evolved.","Cognition, Perception and Movement",Biology,,,Michael Lewicki,"Case Western Reserve University, USA",115,"5:08 -7:22 Extremely detailed measurements can be done by taking a specific soundwave and seeing how the human ear responds - researchers can use electrodes that measure electrical activity in response to the sound, tracing it to the auditory nerve that carries the signal up to the brain. Through this, they've been able to approximate some ""filters"" that we use to sense sound - for instance, a very loud sound will have a specific frequency wave with a slow decay.","13:02 - 15:51 The evolution of eyes based on Darwinism was set in place in order to ""solve a problem"". Over several million years, new membranes evolved with new functions, but they all came to be within a template that solved our need to be able to visually perceive the world around us. This is why most seeing organisms have eyeballs that are round, with circular lens, because they evolved to fit the same need. We can use this model of ""problem solving"" to similarly observe how our auditory physiology evolved.","26:40 - 28:25 Computer programming is used to extract and code specific speech consonants, the process of which uses algorithms and Fourier and wavelet transforms to measure coding efficiency. If this kind of model is extended to the sounds that biological organisms have evolved to process, then we should be able to make predictions on the structures of the organisms themselves. ",49:58 - 52:54 The most difficult part of a speech recognizer is recognizing consonants - vowels are recognized with a much higher success rate than consonants. The struggle to improve upon this has led to things like modelling impact sounds of hitting a metal bar and seeing how the waveforms differ upon each impact (natural variability) to attempt to recreate these sounds computationally.,,3hr30,,,,,
Distinguished Lecture,http://youtu.be/rn2_fFcRZlY,Martins (10),25-10-2009,The sound of orchestras and soloists as a combination of room acoustics and acoustical properties of the musical instruments,"acoustics, sound radiation, acoustic properties, orchestra's seating arrangement, decay, loudness, synchronicity, sound level, masking effect","When it comes down to understanding the resulting sound of a musical performance, Dr. Meyer shows that there is much more to be considered than what musicians usually pay attention to. The room acoustics and the acoustic properties of the instruments, he explains, have an impact on the sound impression of the listener. His lecture includes an encompassing discussion on reverberation, decay times of multiple instruments, loudness curves, synchronicity (rhythmic precision) in chamber music, and sound radiation. Based on acoustical and artistic arguments, he also addresses the differences between the German (classical) and the American orchestral seating arrangement. Lastly, he discusses the acoustic demands from the point of view of the performer and the conductor.","Instruments, Devices and Systems",Acoustics,,,Jurgen Meyer,"University of Music Detmold, Germany",115,"38:05-40:52 
Dr. Meyer uses musical examples to support an artistic argumentation in favor of the classical seating arrangement of the orchestra","42:30-44:03 
Understand the masking effect that happens in the orchestra, between violins I and II.",,,,3hr25,,,,,
Seminar,http://youtu.be/R5ldbfhJV3A,Rong (5),02-11-2009,From 45's to downloads,"record producer, development, digital music","Phil Ramone, legendary music producer and engineer, illustrates the journey of his career from a young violinist to a successful record maker and studio owner with over 50 years of experience in the industry. Alongside his numerous stories of working with stars including Frank Sinatra and Billy Joel, he describes the process of learning his craft through apprenticeship and innovation. Despite his roots in traditional music formats, he embraces the development of digital music with positivity - it's a ""new beginning"", and he insists that future generations need to have the best music with the best sound made available.",Music Information Research,Recording,,,Phil Ramone,"Record producer, USA",98,"2:45-2:55 Ramone felt attached to the fact that by limiting the capabilities of the violin to classical styles, there was much more to be discovered and used.","11:52-12:55 The early 60's rock and roll scene was where Ramone got his start, alongside musicians who were willing to record ""illegally"" (past 10pm, when the union had declared it forbidden to use the booth). Times have changed dramatically since then.","40:45-41:00 Ramone came to the biggest change in his career in the 80's, when everything was changing in an era of revolution and technology. 5-inch CDs were beginning to replace 12-inch discs.","44:28-47:28 Ramone was able to convince Frank Sinatra to record the last album of his life, a collection of duets, claiming that singing songs he had already recorded would be a completely different experience after so many years.",,3hr30,,,,,
Distinguished Lecture,http://youtu.be/VOYWnUEq7yA,Rong (6),19-11-2009,Music again: Perspectives on repetition in music,"repetition, analysis, perception, classical, songs","Repetition - it is a defining characteristic of music, yet this seems to be the only form of artistry where it is commonly seen and even welcomed. It's what makes music social and shareable, and allows for the creation of interpersonal cohesion - well-known nursery rhymes are sung early on by children, for example, and the familiarity of old pieces of music provides comfort and a link to past memories. Margulis talks about her intuition for why the first notes of one's favourite song might spark their excitement, and how repeating motives might exist to serve as connections to people and things in the real world - as well as differentiating and bringing attention to otherwise unnoticeable elements.","Cognition, Perception and Movement",Analysis,,,Lisa Margulis,"University of Arkansas, USA",114,"3:16-3:30 Repetition in music comes in two sorts: both within a particular piece of music, and our tendency to reexpose ourselves to the same familiar pieces of music voluntarily. It is interesting as she further notes that our enjoyment of these kinds of repetition are similarly related when examined from a cognitive science viewpoint.","11:38 - 13:12 Earworms tend to play over and over in one's head, and this is often due to the brain's need to play it until a point of rest. In this way, certain tunes - which are snippets of music with trajectory and time, as opposed to singular harmonies or pitches - have a ""stickiness"" that is captured by the brain. This essentially sets up a repetition that links the music to previous recollections of hearing the tune. ","23:38 - 24:01 There is no thing as true redundancy when an element is repeated; at minimum, it will sound different based solely on the context as well as the fact that it has been heard before. Even if a series of identical hammer strokes were to be played, each one would cause the unfolding of a sequence where they all possess different qualities of continuation. This can lead to a phenomenon where attention is drawn to a quiet repetitive element.","40:00 - 42:48 By repeating a certain segment over and over, such as in The Reaper's Song by Rameau, we are eventually forced to listen to it very carefully and break it down into smaller components that might begin to sound incoherent and nothing like the original moment. It plays with our brains' perceptions of what the sound byte originally was, and has deeper implications in things such as repeats in classical sonata form.",,3hr 30,,,,,
Distinguished Lecture,http://youtu.be/Vzf19l-Ztsk,Richardson (8),21-01-2010,Does Music Make You Smarter,"mozart effect, intellectual benefit, music lessons, psychology ","The popular theory of the “Mozart Effect” states that listening to the music of Mozart increases intellectual ability by priming the brain. Schellenberg presents research-based conclusions concerning the idea of unique intellectual benefits surrounding music listening and music lessons. His research has uncovered a “Schubert Effect” associated with listening to the music of Schubert and even a “King Effect” from listening to a Stephen King audio book. Schellenberg concludes that music, among other such “catalysts”, can affect arousal and mood, which, in turn, affects performance on intellectual tasks. Further, unlike other common out-of-school activities, music lessons are associated with small but broad intellectual benefits. ",Expanded Musical Practice,Psychology,,,Glenn Schellenberg,"University of Toronto, Canada",103," 1:41-2:09 The question of whether music makes one smarter is only valid if listening to music is in some way special. Continue to 2:42 to include ""Does exposure to music include non-musical benefits?"" In my opinion, this extended version is a bit less interesting.","43:57-45:26 Benefits associated with music lessons (Music lessons are associated with increases in IQ,  the association is not attributable to extraneous variables that are associated with taking music lessons and with IQ, the  association is small but long-lasting, the association has applied relevance that extends beyond IQ testing to academic achievement but not to g or to social-emotional abilities, comparable nonmusical activities do not have similar consequences, although they may have other developmental benefits (e.g., social consequences of drama lessons). Most likely, those with higher IQ are more likely to take music lessons.","46:33-48:01 He offers further explanations for the existence of the IQ increase of music training: studying music is like learning a second language, music lessons provide training in a variety of multiple areas (motor skills, reading, emotions, etc.), and/or abstract nature of music.","48:00-48:32 1) Like many other experiences, listening to music can change how you feel, and how you feel affects behavior, including intellectual functioning. 2) Unlike other common out-of-school activities, music lessons are associated with small but broad intellectual benefits.  ",,24/04/18 1:15 26/04/18 0:40 ,,,,,
Distinguished Lecture,http://youtu.be/wf_FfC9Uq3U,Richardson (9),25-03-2010,Reverse Engineering the Violin,"reverse engineering, violin, instrument design","Have you ever wondered exactly why violins are made the way they are? What aspects of the modern violin lend themselves to the instrument’s sound, strength, and durability? What could we do differently were we to re-invent the violin? Woodhouse provides an engineer’s perspective as he explores such questions and offers unique insight on the design and possible future re-designing of the violin. He presents the audience with a variety of considerations on details such as the impedance of materials, types of wood and glue, the use of arches, purfling, and slots (f holes) in the design of the instrument, and more.","Instruments, Devices and Systems",Design,,,Jim Woodhouse,"Cambridge University, UK",102,0:24-1:50 Goal/content of the talk: reverse engineering the violin,14:37-14:46 What governs how loud the instrument is (speed that energy moves from string into the body of the instrument),58:08-59:17 ending illustration on how he has shared the easier parts of the scientific puzzle and more information must be filled in,,,27/04/18 1:20 30/04/18 0:25,,,,,
Distinguished Lecture,http://youtu.be/qvTqte1nFf8,Rong (8),15-05-2010,"Cognition and control in human-machine interaction, auditory communication, and orchestral conducting","engineering, robotics, cognition, audio","This lecture explores some of those most interesting domains of human interactions with machines, where human sciences, system sciences, and information sciences come together to create Human Machine Systems. Johannsen, who has done over 40 years of research in this discipline, describes the engineering that can be developed from the field of orchestral conducting, and the autonomy and flexibility we can learn from observing music in performance. He addresses auditory communication, both through talking with words and with other sounds or music, as tools we can use to design and improve engineering processes like air traffic control.","Instruments, Devices and Systems",Interaction,,,Gunnar Johannsen,"Universität Kassel, Germany",97,"11:12 -  14:12 Control is divided into three subcategories: manual control, where human cognition is dominant and is responsible for things like tracking and action planning; supervisory control, including activities like teaching and diagnosing; and gestural control, seen in activities like conducting where manual movement controls a greater process. ","17:53 - 19:06 The importance of mental images in one's mind paves the way for conscious understanding, planning and navigation. In a conductor's mind, a mental image of the orchestral work will determine the set of their gestures, as well as their expressiveness, in the supervisory control that they have. A mental model of any musical work involves its basic structure, themes, variations and transformations of the theme, and their relationships overall.","31:46 - 34:23 He offers the example of car driving as an illustration of the multi-level system interaction involved: there is human interaction with themselves as they form a mental image of where they want to go, as well as human-machine interaction as they gesture with their body, controlling the movement of the automated machine (car). Different proportions of these two controls leads to more or less responsibility of the driver for the vehicle, and this has an implication for technologies lik self-driving cars.","47:24 - 49:50 For moving robots, auditory symbols For example, a broken ascending triad would represent moving upwards in a plane for the robot, while going down would be indicated by a descending triad. Left and right movements are symbolized aurally by patterns of tones with different rhythms. The robot would use these sounds to orient itself whichever way they indicated.",,4hr00,,,,,
Student Symposium KEYNOTE,http://youtu.be/pibOuaot0SE,West (8),27-05-2010,Interaction in the Post-Convergence Age,"sensors, ubiquitous computing, analog modular synthesizer, digital musical instruments","Joe Paradiso gives an extensive tour of his impressive home-made modular synthesizer studio, and presents a few of his digital musical instruments. Paradiso shares his enthusiasm, and practical insights, toward more expressive and intimate control of live electronic music. Although much of his work starts in a musical context, Paradiso shares some of the ways in which the technological material of his digital musical instruments comes to be used in other sometimes unexpected places.","Instruments, Devices and Systems",Interaction,,,Joe Paradiso,"Massachusetts Institute of Technology Media Lab, USA",74,5:40 - 6:36 (56s) Paradiso makes a connection between his work with high energy particle accelerators and his later work with sensor networks and digital musical instruments,13:36 - 13:48 (12s) great picture of enormous modular synthesizer in Paradiso's living room circa mid-1980s,54:37 - 55:30 (53s) an example of a non-musical use of sensor technology made for a musical application: automatic HVAC control to make people more comfortable while using less energy,50:53 - 54:13 (20s) sensor controlled algorithmic rave music,,1hr00,14:36 - 15:07 (31s) splendid modular synthesizer sound sculpture,,,,
Distinguished Lecture,http://www.youtube.com/watch?v=dUcNzPhZdwk,Richardson (10),16-09-2010,Sound Synthesis Based on Physical Models,"physical modeling, vibration, synthesis","Smith offers the unique combined perspective of a professor of music and an electrical engineer, who is based in the Center for Computer Research in Music and Acoustics (CCRMA) at Stanford University. Organizing the current research in it’s historical context, Smith discusses the historical roots of sound synthesis based on physical modeling dating back to Bernouli's ingenious insight into superposition of simple modes of vibration and d'Alembert's foundational superposition of traveling waves, which was essentially the first wave equation and occurred during Bach's lifetime. Beyond the history of physical modeling, Smith discusses techniques of physical modeling synthesis techniques and shares related research at CCRMA. ","Instruments, Devices and Systems",Modeling,,,Julius Smith,"Stanford University, USA",104,3:08-4:08 history/beginning of modeling,8:38-9:55 replicating a plucked string sound,13:34-14:15 ear design: breaking sound down into frequency components. The ear is a kind of fourrier transform.,1:02:32-1:03:12 and 1:03:56-1:04:13 (he got on a tangent about when Bach was born in the middle) Summary of talk content,,01/05/18 0:45   04/05/18 0:50,,,,,
Xenakis Conference KEYNOTE,http://youtu.be/P997_D4JV7c,Reesor (3),01-10-2010,Xenakis: Arts/Science,"Iannis Xenakis, electronic music, computer music, UPIC, polytope","A close collaborator of Iannis Xenakis' and co-author of his last book, “Music and Architecture,” Sharon Kanach describes the past and ongoing projects that are dedicated to the promotion and development of the Xenakian legacy. Kanach describes exciting projects across Europe and North America, especially highlighting the Xenakis Project for the Americas, which started in New York as an outreach to the general public, and the Centre Iannis Xenakis at the University of Rouen, which formed to create and preserve inventory of the composer’s research and creation. Kanach calls attention to the issues which can arise when performing Xenakis’s works and suggests next steps for contemporary scholars. ",Expanded Musical Practice,Composition,,,Sharon Kanach,"Centre Iannis Xenakis, France",107,Description of the first site-specific re-creation of the controversial Polytope de Persépolis and the concerns involved (21:10-23:15),Activities in progress at the Centre Iannis Xenakis (27:50-30:30),Ongoing and forthcoming publications (35:50-38:30),Next steps for contemporary scholars (39:10-40:15 and 41:00-42:30),,3hr00,Polytope Persepolis: https://www.youtube.com/watch?v=rkGwlb6sONg,"Polytope Persepolis, remixed by Daniel Teruggi (composer and researcher at the Paris Conservatory); interesting because Kanach speaks to ongoing evolution of the performance Xenakis' works: https://www.youtube.com/watch?v=S-GEbbgT5Io&t=193s",,,
Distinguished Lecture,http://www.youtube.com/watch?v=O8Gn54sx_Xw,Reesor (4),21-10-2010,Understanding music on the web: A Yahoo! perspective,"Yahoo! Research, music-information retrieval, machine learning, data ambiguity, model building","In the last decades, the volume and multi-media usage of online music use has exploded. Personalized data from photos, videos, ratings, tags and posts is now abundantly available, resulting in rich yet “noisy”, or context-dependent data. Many tools using this data for user and advertiser satisfaction are no longer adequate. In response, Yahoo! Research is developing tools to increase and improve data. Slaney details these tools and advocates for a “more data wins” approach to data collection, so that one can have more ways to look at, and make judgements about, data or prospective solutions. Discussion is centred around machine learning tools and model-building designed to sift through the vast swaths of data.",Music Information Research,Music Information Retrieval,,,Malcolm Slaney,"Yahoo! Research Laboratory, USA",113,Data labelling and using MIDI data to train HMM models for speech and music recognition (17:00-20:00).,Solving word-use ambiguity in online tagging with word histograms (23:20-26:00).,"Locality Sensitive Hashing: a web search tool borrowed for audio searching, which organizes large pools of data according to their similarity to each other (42:20-44:20).",Determining music similarity by user ratings (48:10-51:10).,,4hr00,,,,,
